quando              |  quem   |  balcao  |  o_que              |  canal_criado/usado
--------------------------------------------------------------------------------------
27-05-2015 21:39:11 | Balcao  | 1        | incia_mempart       | -             
27-05-2015 21:39:11 | Balcao  | 1        | cria_linh_mempart   | /tmp/fb_24012 
27-05-2015 21:39:11 | Balcao  | 2        | cria_linh_mempart   | /tmp/fb_24013 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24020 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24022 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24022 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24023 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24023 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24019 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24019 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24024 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24024 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24025 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24025 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24026 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24026 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24028 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24028 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24027 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24027 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24029 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24029 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24030 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24030 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24020 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24031 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24031 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24018 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24018 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24021 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24021 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24033 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24033 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24034 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24035 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24035 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24036 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24036 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24034 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24040 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24040 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24041 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24041 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24037 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24037 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24017 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24017 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24038 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24038 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24039 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24039 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24032 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24032 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24042 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24042 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24043 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24043 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24044 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24044 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24045 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24045 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24046 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24046 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24048 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24048 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24049 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24049 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24047 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24047 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24050 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24050 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24051 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24051 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24052 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24052 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24053 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24053 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24096 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24096 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24093 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24093 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24092 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24092 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24095 
27-05-2015 21:39:13 | Balcao  | 2        | inicia_atend_cli    | /tmp/fc_24095 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24099 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24099 
27-05-2015 21:39:13 | Cliente | 1        | pede_atendimento    | /tmp/fc_24090 
27-05-2015 21:39:13 | Balcao  | 1        | inicia_atend_cli    | /tmp/fc_24090 
27-05-2015 21:39:13 | Cliente | 2        | pede_atendimento    | /tmp/fc_24104 
